시설명,시설종류,주소,위도,경도,정원(명)
송도아메리칸타운아이파크시니어경로당,노인여가복지시설,"인천광역시 연수구 송도과학로27번길 15, 102동",37.38487599,126.6620747,
송도캐슬앤해모로아파트경로당,노인여가복지시설,인천광역시 연수구 송도과학로51번길 136,37.38502333,126.6767855,
송도호반베르디움2차아파트경로당(글로벌파크),노인여가복지시설,"인천광역시 연수구 송도문화로28번길 27, 203동",37.37603153,126.6560445,
에듀포레푸르지오아파트경로당 ,노인여가복지시설,"인천광역시 연수구 송도문화로84번길 24, 204동 뒤",37.37452325,126.6581149,
더샵마스터뷰2단지아파트경로당,노인여가복지시설,"인천광역시 연수구 컨벤시아대로 274번길 35, 2206동",37.38345577,126.6316351,
마스터뷰1단지경로당,노인여가복지시설,인천광역시 연수구 컨벤시아대로 274번길 55,37.38319335,126.62998,
더샵퍼스트파크13단지경로당,노인여가복지시설,"인천광역시 연수구 컨벤시아대로252번길70, 1305동",37.38858435,126.6317791,
더샵퍼스트파크14단지경로당,노인여가복지시설,인천광역시 연수구 컨벤시아대로252번길 50,37.38801222,126.6337318,
더샵퍼스트파크15단지경로당,노인여가복지시설,인천광역시 연수구 컨벤시아대로252번길 30,37.38685099,126.6353902,
아트윈푸르지오아파트경로당,노인여가복지시설,인천광역시 연수구 인천타워대로 253-25,37.39285385,126.6316564,
힐스테이트레이크송도경로당,노인여가복지시설,인천광역시 연수구 아카데미로312번길 177,37.40176139,126.6204713,
힐스테이트레이크송도2차아파트경로당,노인여가복지시설,인천광역시 연수구 아카데미로 446,37.39806359,126.6201663,
송도파크애비뉴시니어클럽,노인여가복지시설,인천광역시 연수구 컨벤시아대로252번길 10,37.38584093,126.6368764,
e편한세상송도아파트경로당,노인여가복지시설,인천광역시 연수구 랜드마크로 113,37.41340107,126.6180101,
더샵송도마리나베이아파트경로당,노인여가복지시설,인천광역시 연수구 랜드마크로 160,37.41594701,126.6107449,
송도오션파크베르디움경로당,노인여가복지시설,인천광역시 연수구 랜드마크로 110,37.41618464,126.6148751,
랜드마크시티센트럴더샵아파트경로당,노인여가복지시설,인천광역시 연수구 랜드마크로 68,37.41498268,126.6184216,
sk뷰아파트경로당,노인여가복지시설,인천광역시 연수구 랜드마크로 19,37.41421284,126.6250441,
호반써밋송도아파트경로당,노인여가복지시설,인천광역시 연수구 랜드마크로 20,37.389857,126.644333,
